color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Season,Episode,seriesID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anywhere But Here,1999,PG-13,12 Nov 1999,114 min,"Comedy, Drama",Wayne Wang,"Mona Simpson, Alvin Sargent","Susan Sarandon, Natalie Portman, Hart Bochner","Fed up with her small-town Bay City existence, Adele August leaves her family and second husband and heads for Beverley Hills with her daughter. The teenager resents the move and her mother's always flamboyant behaviour and in turns plans to get away to university on the east coast. Mum's plans are different - she wants a movie star for a daughter.",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNzAxYjVhODctMTAxZS00MGE4LThkNjEtNTExY2FkNWFkZjUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.2,"18,206",tt0149691,movie,03 Jul 2001,"$18,670,401",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chasing Liberty,2004,PG-13,09 Jan 2004,111 min,"Comedy, Romance",Andy Cadiff,"Derek Guiley, David Schneiderman","Mandy Moore, Matthew Goode, Mark Harmon","Anna Foster has never had an ordinary life. At eighteen years old, she is the most protected girl in America; she is the First Daughter. Frustrated with her overprotective father, the President of the United States of America, Anna makes a deal with him: only two agents are allowed to guard her while she attends a concert in Prague. When her father backs out of his promise, Anna flies into a temper and goes on the run with Ben Calder, a handsome photographer she runs into outside of the music club. They travel together with the intention of going to the Love Parade in Berlin. Anna hasn't told Ben who she is but more importantly, Ben hasn't told her who he is. Under the orders of Anna's father, Ben is supposed to keep an eye on the rebellious girl but falling in love with her wasn't something he expected to do. Romance blossoms between the wild, sassy Anna and the cool, distant Ben as they backpack through Europe. Problem is, when it is time to go back and Anna finds out about Ben, what will happen to the two lovers?","English, French, German, Hebrew, Italian, Spanish","United States, United Kingdom, Czech Republic",5 nominations,https://m.media-amazon.com/images/M/MV5BMTU2MTg5NDg4N15BMl5BanBnXkFtZTYwMjQ1NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.1,"40,121",tt0360139,movie,28 Sep 2004,"$12,195,626",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Crew,2000,PG-13,25 Aug 2000,88 min,"Comedy, Crime",Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya","Four former made men, struggling to get by in a rundown Miami hotel, come up with a plot to drive out all of the young tenants that are slowly taking over the beach-front hotel and driving up their rent. Taking a man that was found dead on the beach, they arrange what appears to a mob hit and provide a note that says more killings are to occur. Unfortunately the old man they use turns out to be the senile father of a drug lord. The drug lord declares war on the killers of his father, thinking it was an action of his enemies. A stripper learns of the old men's involvement and threatens to squeal on them unless they kill her stepmother. Meanwhile, one man searches for his long-lost daughter, who is the investigating police officer, trying to divest herself from her crumb fellow officer and former boyfriend.","English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BMTk2NDA2NTY2MV5BMl5BanBnXkFtZTcwNjg2MjIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"6,531",tt0198386,movie,13 Mar 2002,"$13,023,075",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haywire,2011,R,20 Jan 2012,93 min,"Action, Drama, Thriller",Steven Soderbergh,Lem Dobbs,"Gina Carano, Ewan McGregor, Michael Fassbender","Freelance covert operative Mallory Kane is hired out by her handler to various global entities to perform jobs which governments can't authorize and heads of state would rather not know about. After a mission to rescue a hostage in Barcelona, Mallory is quickly dispatched on another mission to Dublin. When the operation goes awry and Mallory finds she has been double crossed, she needs to use all of her skills, tricks and abilities to escape an international manhunt, make it back to the United States, protect her family, and exact revenge on those that have betrayed her.","English, Spanish","Ireland, United States",7 nominations,https://m.media-amazon.com/images/M/MV5BNjEyYWViNjEtMjVkNy00YzA2LTllMTctZjViOGRjMDQ2Njk5XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,5.8,"87,902",tt1506999,movie,01 May 2012,"$18,942,396",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaws: The Revenge,1987,PG-13,17 Jul 1987,89 min,"Adventure, Horror, Thriller",Joseph Sargent,"Peter Benchley, Michael De Guzman","Lorraine Gary, Lance Guest, Mario Van Peebles","After the encounter with the shark at Sea World, Sean Brody has returned to Amity. Here he has assumed his father's role, working for the police department, and is engaged to a young woman named Tiffany. His mother, Ellen, still lives in Amity as well. Mike Brody is now married to Carla and is researching conch snails with his partner, Jake, in the Bahamas. One night, while repairing a buoy in Amity harbor from the police boat, Sean is ambushed from below and killed by the Brodys' old enemy, a Great White shark. After the funeral, Ellen wants Mike to stay off the water, but he refuses, and takes Ellen back to the Caribbean with him and his wife and daughter, Thea. Ellen starts trying to enjoy life again, meeting charming pilot Hoagie after having been a widow for some time. Mike and Jake encounter the Great White shark in the water, and tag and track it for research. But the shark soon starts wreaking havoc, and comes after Thea on a banana boat ride. Now, Ellen, Mike, Jake, and Hoagie will face the shark on his terms. Who will survive?",English,United States,1 win & 7 nominations,https://m.media-amazon.com/images/M/MV5BNGI1MTAxMWItOTE0OC00ZDhkLWE3Y2EtNjFiZmQ4NjQ1NGNkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '15/100'}]",15,3.0,"47,076",tt0093300,movie,14 Jun 2016,"$20,763,013","Universal Pictures, MCA/Universal Pictures [us]",N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marvin's Room,1996,PG-13,28 Feb 1997,98 min,Drama,Jerry Zaks,Scott McPherson,"Meryl Streep, Leonardo DiCaprio, Diane Keaton","Years ago, the fiercely independent Lee took off for Ohio, while her older sister Bessie stayed home to look after their bedridden father, Marvin. Lee has troubles of her own, including her mischievous son Hank, who has a knack for burning down the neighborhood when she's not looking. Seventeen years since her last visit, and after an unexpected call from Bessie, Lee's packs up Hank and his younger brother Charlie for the trip home.",English,United States,Nominated for 1 Oscar. 4 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BOTk0ZDk3YWItZDZlOC00Y2FiLTgxNzYtODZmYzdkYWVmNmRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.7,"28,754",tt0116999,movie,03 May 2011,"$12,803,305",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Longshots,2008,PG,22 Aug 2008,94 min,"Biography, Comedy, Drama",Fred Durst,Nick Santora,"Ice Cube, Keke Palmer, Tasha Smith","The true story of Jasmine Plummer who, at the age of eleven, became the first female to play in Pop Warner football tournament in its 56-year history.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMjA5NDMwODQ3MF5BMl5BanBnXkFtZTcwNTA1NDc4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,5.5,"4,284",tt1091751,movie,02 Dec 2008,"$11,537,046",Metro-Goldwyn-Mayer,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The End of the Affair,1999,R,21 Jan 2000,102 min,"Drama, Romance",Neil Jordan,"Graham Greene, Neil Jordan","Ralph Fiennes, Julianne Moore, Stephen Rea","1946 London. One evening, novelist Maurice Bendrix runs into his old friend, mild-mannered government minister Henry Miles, who he has not seen in two years. Maurice met Henry and his wife Sarah Miles in 1939 when they were neighbors off the Common, Maurice using the notion of Henry as research for a character for one of his novels. The reason they have not seen each other in such a long time is that last meeting is when Sarah, without warning, abruptly ended her affair with Maurice, an affair of which Henry had and has no knowledge. This meeting at least brings Maurice back into the Miles' realm and again seeing Sarah. Maurice is as dismayed to hear as Henry is dismayed to tell that he believes Sarah currently is having an affair. Beyond still being in love with her, the deeper reason for Maurice's dismay is not only Sarah having professed her eternal love for him during the time they were together, but her vow that she would never sleep with another man, her and Henry's marriage, while one of emotional need, not of romantic love or sex. Stemming from a conversation between the two men, Maurice employs a detective agency to discover the nature of what Henry believes is Sarah's affair. In the process of discovering what Sarah has been doing, Maurice may discover what happened to end their affair and if she has been true to her word of her eternal love and sexual faithfulness to him.",English,"United Kingdom, United States",Nominated for 2 Oscars. 2 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BYzhkNDRkMDctYTcxMy00MTI3LWI5ODQtZWNkYWQ2ZjA2ZDk2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.0,"23,301",tt0172396,movie,16 May 2000,"$10,827,816",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harley Davidson and the Marlboro Man,1991,R,23 Aug 1991,98 min,"Action, Crime, Drama",Simon Wincer,Don Michael Paul,"Mickey Rourke, Don Johnson, Chelsea Field","Two lone riders and childhood friends, the rough and silent Harley Davidson and the ragged sun-baked cowboy Marlboro, assemble once more when they learn that their favourite hangout and the place where they grew up, the notorious Rock 'n' Roll Bar and Grill is facing imminent foreclosure. For this reason, against the preposterous demands for a new contract, the two lifelong buddies in unflinching determination to win back the bar, they will decide to hold up the corrupt bank's armoured car, unbeknownst to them that its cargo is not money but a new lethal and highly experimental street drug: the Crystal Dream. Now the bank wants it back and they are unstoppable. Is everything lost for Harley and Marlboro, the two well-meaning but amateurish thieves?",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGEwOTJjNDYtNDlmNy00ODMwLTg5Y2QtN2VmNDgzZWNmMzdjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.1,"21,107",tt0102005,movie,06 Feb 2001,"$7,434,726",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,In the Valley of Elah,2007,R,28 Sep 2007,121 min,"Crime, Drama, Mystery",Paul Haggis,"Paul Haggis, Mark Boal","Tommy Lee Jones, Charlize Theron, Jonathan Tucker",A retired military investigator works with a police detective to uncover the truth behind his son's disappearance following his return from a tour of duty in Iraq.,English,United States,Nominated for 1 Oscar. 3 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BY2QzODMwOGQtMjZiNS00YjYwLTlhZDUtYWU1OGI0ZTk3ZjUxXkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.2,"73,763",tt0478134,movie,19 Feb 2008,"$6,777,741",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coco Before Chanel,2009,PG-13,06 Nov 2009,105 min,"Biography, Drama",Anne Fontaine,"Edmonde Charles-Roux, Anne Fontaine, Camille Fontaine","Audrey Tautou, Benoît Poelvoorde, Alessandro Nivola","Several years after leaving the orphanage to which her father never returned for her, Gabrielle Chanel finds herself working in a provincial bar. She's both a seamstress for the performers and a singer, adopting the nickname Coco from her father in early childhood. A liaison with Baron Balsan gives her an entrée into French society and a chance to develop her gift for designing increasingly popular hats. When she falls in love with English businessman Arthur Capel further opportunities open up, though life becomes ever more complicated.","French, English","France, Belgium",Nominated for 1 Oscar. 5 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTA0NjYzMzQxNzBeQTJeQWpwZ15BbWU3MDI2MDA0ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.7,"41,187",tt1035736,movie,16 Feb 2010,"$6,113,834",N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forsaken,2015,R,19 Feb 2016,90 min,"Action, Drama, Western",Jon Cassar,"Brad Mirman, Tari","Esther Purves-Smith, Kiefer Sutherland, Donald Sutherland","John Henry returns to his hometown in hopes of repairing his relationship with his estranged father, but a local gang is terrorizing the town. John Henry is the only one who can stop them, however he has abandoned both his gun and reputation as a fearless quick-draw killer.",English,"Canada, France, United States",1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTc1MTkxNzc5OF5BMl5BanBnXkFtZTgwMDczNTQ3NzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.4,"12,928",tt2271563,movie,29 Mar 2016,N/A,N/A,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chéri,2009,R,17 Jul 2009,86 min,"Comedy, Drama, Romance",Stephen Frears,"Christopher Hampton, Colette","Michelle Pfeiffer, Rupert Friend, Kathy Bates","During France's belle époque before World War I, elegant cars, mansions, and servants defined the lives of les grandes horizontals, the courtesans of kings and millionaires. One of the most successful, Lea de Lonval, is approaching a certain age when an older associate, Charlotte Peloux, asks Lea to take on her 19 year old son, whom Lea has called Chéri since he was a child. They become lovers and, to their surprise, the relationship lasts six years. When it ends abruptly with a marriage his mother arranges to the daughter of another courtesan, Lea finds herself lonely. Has she fallen in love? If so, do she -- and Chéri - have any choices?","English, French, Latin, Italian","United Kingdom, France, Germany",3 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BOTY4MzU1MzI1NV5BMl5BanBnXkFtZTcwOTY5Njc1Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.1,"11,387",tt1179258,movie,20 Oct 2009,"$2,715,657",Miramax Films,N/A,True,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogue,2013–2017,TV-MA,03 Apr 2013,50 min,"Action, Crime, Drama",N/A,Matthew Parkhill,"Cole Hauser, Thandiwe Newton, Sergio Di Zio","Grace, a morally and emotionally-conflicted undercover detective, is tormented by the possibility that her own actions contributed to her son's mysterious death. In her quest for the truth, Grace finds herself striking out on her own and falling deeper into the city's most powerful and dangerous crime family. As Grace struggles to become the wife and mother her family now needs, her life is further complicated by a forbidden relationship with crime boss Jimmy Laszlo. In order to stay alive, Grace needs to help Jimmy find the traitor in his midst, while knowing he may have played a part in her tragedy.",English,"United States, Canada",3 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BMDllMzgwYmYtZjllOS00NDdiLWFkYzgtYTlmMWZkOGUxNmY4XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"2,957",tt2397255,series,,,,,True,4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanity Fair,2004,PG-13,01 Sep 2004,141 min,Drama,Mira Nair,"Matthew Faulk, Mark Skeet, Julian Fellowes","Reese Witherspoon, Romola Garai, James Purefoy","The British Empire flowers; exotic India colors English imaginations. Becky Sharp (Reese Witherspoon), the orphaned daughter of a painter and a singer, leaves a home for girls to be a governess, armed with a keen wit, good looks, fluent French, and an eye for social advancement. Society tries its best to keep her from climbing. An episodic narrative follows her for twenty years, through marriage, Napoleonic wars, a child, loyalty to a school friend, the vicissitudes of the family whose daughters she instructed, and attention from a bored marquess who collected her father's paintings. Honesty tempers her schemes.","English, French, German","United States, United Kingdom, India",2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTU4OTkwNDY2OV5BMl5BanBnXkFtZTcwNDIwMzAzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.2,"22,976",tt0241025,movie,01 Feb 2005,"$16,136,476",N/A,N/A,True,,,,
