color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons,Error
,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,2011,Not Rated,30 Mar 2012,99 min,"Drama, Romance",Eldar Rapaport,"Eldar Rapaport, Brian Sloan","Murray Bartlett, Edward Conna, Adrian Gonzalez","August tells the story of two former lovers, Troy and Jonathan, who reunite after a long ago painful breakup. After spending several years in Spain, Troy returns to Los Angeles and decides to phone Jonathan and meet for coffee. A seemingly innocent rendezvous turns into an attempt to revive passions past. Only this time it's not that simple as Jonathan has a new beau, Raul, and is trying to make the right decision a second time around.","English, Spanish",United States,2 wins,https://m.media-amazon.com/images/M/MV5BMTA5MzQxNjYxMzJeQTJeQWpwZ15BbWU3MDE4MjAxNDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"1,922",tt1753460,movie,14 Aug 2012,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choke,2008,R,30 Oct 2008,92 min,"Comedy, Drama",Clark Gregg,"Clark Gregg, Chuck Palahniuk","Sam Rockwell, Anjelica Huston, Kelly Macdonald","Sex addict and colonial theme park worker, Victor Mancini, has devised a complicated scam to pay for his mom's hospital bills while she suffers from an Alzheimer's disease that hides the truth about his childhood. He pretends to choke on food in a restaurant and the person who ""saves"" him will feel responsible for Victor for the rest of their lives.",English,United States,2 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BMTMxMDI4MTE0Ml5BMl5BanBnXkFtZTcwNTg0NDI3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.4,"32,971",tt1024715,movie,25 Mar 2008,"$2,926,565",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whiplash,2014,R,15 Oct 2014,106 min,"Drama, Music",Damien Chazelle,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist","Nineteen year old Andrew Niemann wants to be the greatest jazz drummer in the world, in a league with Buddy Rich. This goal is despite not coming from a pedigree of greatest, musical or otherwise, with Jim, his high school teacher father, being a failed writer. Andrew is starting his first year at Shaffer Conservatory of Music, the best music school in the United States. At Shaffer, being the best means being accepted to study under Terence Fletcher and being asked to play in his studio band, which represents the school at jazz competitions. Based on their less than positive first meeting, Andrew is surprised that Fletcher asks him to join the band, albeit in the alternate drummer position which he is more than happy to do initially. Andrew quickly learns that Fletcher operates on fear and intimidation, never settling for what he considers less than the best each and every time. Being the best in Fletcher's mind does not only entail playing well, but knowing that you're playing well and if not what you're doing wrong. His modus operandi creates an atmosphere of fear and of every man or woman for him/herself within the band. Regardless, Andrew works hard to be the best. He has to figure out his life priorities and what he is willing to sacrifice to be the best. The other question becomes how much emotional abuse he will endure by Fletcher to reach that greatness, which he may believe he can only achieve with the avenues opened up by Fletcher.",English,United States,Won 3 Oscars. 98 wins & 146 nominations total,https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.5,"883,469",tt2582802,movie,02 Dec 2014,"$13,092,000",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of God,2002,R,13 Feb 2004,130 min,"Crime, Drama","Fernando Meirelles, Kátia Lund","Paulo Lins, Bráulio Mantovani","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele","Brazil, 1960s, City of God. The Tender Trio robs motels and gas trucks. Younger kids watch and learn well...too well. 1970s: Li'l Zé has prospered very well and owns the city. He causes violence and fear as he wipes out rival gangs without mercy. His best friend Bené is the only one to keep him on the good side of sanity. Rocket has watched these two gain power for years, and he wants no part of it. he keeps getting swept up in the madness. All he wants to do is take pictures. 1980s: Things are out of control between the last two remaining gangs...will it ever end? Welcome to the City of God.",Portuguese,"Brazil, France, Germany",Nominated for 4 Oscars. 74 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,8.6,"763,620",tt0317248,movie,08 Jun 2004,"$7,564,459",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Human Traffic,1999,R,05 May 2000,99 min,"Comedy, Music",Justin Kerrigan,Justin Kerrigan,"John Simm, Lorraine Pilkington, Shaun Parkes","The Cardiff club scene in the 90's: five best friends deal with their relationships and their personal demons during a weekend. Jip calls himself a sexual paranoid, afraid he's impotent. Lulu, Jip's mate, doesn't find much to fancy in men. Nina hates her job at a fast food joint, and her man, Koop, who dreams of being a great hip-hop d.j., is prone to fits of un-provoked jealousy. The fifth is Moff, whose family is down on his behavior. Starting Friday afternoon, with preparations for clubbing, we follow the five from Ecstacy-induced fun through a booze-laden come-down early Saturday morning followed by the weekend's aftermath. It's breakthrough time for at least three of them.",English,"United Kingdom, Ireland",Nominated for 1 BAFTA Award9 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BM2ZlMjIxZjgtZGJiMC00ODAwLWJhNWYtYWJkZDg2Y2VkM2QyXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.1,"25,490",tt0188674,movie,05 Mar 2002,"$104,257",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,To Write Love on Her Arms,2012,PG-13,03 Mar 2015,102 min,"Biography, Drama, Fantasy",Nathan Frankowski,"Kate King Lynch, Nathan Frankowski, Renee Yohe","Kat Dennings, Chad Michael Murray, Rupert Friend","The story follows 19-year-old Renee (Kat Dennings) who has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But Renee's life is that of a darker tale: she's a young woman battling addiction, depression and self-injury. In a creative blend of artistic fantasy balanced with harsh reality, the movie follows Renee on her courageous journey towards recovery.",English,United States,6 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjA2NzQ3MzE1Ml5BMl5BanBnXkFtZTgwNDAxNTI0NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"3,093",tt1850418,movie,03 Mar 2015,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Dead Girl,2006,R,26 Apr 2007,85 min,"Crime, Drama, Mystery",Karen Moncrieff,Karen Moncrieff,"Toni Collette, Brittany Murphy, Marcia Gay Harden","In Los Angeles, a story about a dead girl, told in five chapters. A woman, miserable in her circumscribed life caring for her domineering mother, finds a body. Somehow, this discovery allows her to change. At the morgue, the sister of a girl missing for 15 years believes the body is that of her sister; this liberates her. An older woman, married to a man who pays her little attention, finds evidence in a storage unit; how will she handle it? The mother of the dead girl, who left home some years before, visits the last place her daughter lived and makes her own discoveries. Last, we flash back to the victim's final day.",English,United States,2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNzE4MDYzMzg3MF5BMl5BanBnXkFtZTcwNDU2ODA0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,"15,683",tt0783238,movie,25 Dec 2016,"$19,875",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Hunt,2012,R,10 Jan 2013,115 min,Drama,Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp","Lucas is a Kindergarten teacher who takes great care of his students. Unfortunately for him, young Klara has a run-away imagination and concocts a lie about her teacher. Before Lucas is even able to understand the consequences, he has become the outcast of the town. The hunt is on to prove his innocence before it's taken from him for good.","Danish, English, Polish","Denmark, Sweden",Nominated for 1 Oscar. 38 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,8.3,"336,378",tt2106476,movie,12 Jul 2014,"$613,308",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Christmas Story,1983,PG,18 Nov 1983,93 min,"Comedy, Family",Bob Clark,"Jean Shepherd, Leigh Brown, Bob Clark","Peter Billingsley, Melinda Dillon, Darren McGavin","Christmas is approaching and 9 year-old Ralphie wants only one thing: a Red Ryder Range 200 Shot BB gun. When he mentions it at the dinner table, his mother's immediate reaction is that he'll shoot his eye out. He then decides on a perfect theme for his teacher but her reaction is like his. He fantasizes about what it would be like to be Red Ryder and catch the bad guys. When the big day arrives he gets lots of present under the tree including a lovely gift from his aunt that his mother just adores. But what about the BB gun?",English,"United States, Canada",3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BOWMyNjE0MzEtMzVjNy00NjIxLTg0ZjMtMWJhNGI1YmVjYTczL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.9,"160,337",tt0085334,movie,04 Nov 2008,"$20,778,141",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bella,2006,PG-13,30 Nov 2007,91 min,"Drama, Romance",Alejandro Monteverde,"Alejandro Monteverde, Patrick Million, Leo Severino","Eduardo Verástegui, Tammy Blanchard, Manny Perez","An international soccer star is on his way to sign a multimillion-dollar contract when a series of events unfold that bring his career to an abrupt end. A beautiful waitress, struggling to make it in New York City, discovers something about herself that she's unprepared for. In one irreversible moment, their lives are turned upside down... until a simple gesture of kindness brings them both together, turning an ordinary day to an unforgettable experience.","English, Spanish","United States, Mexico",6 wins,https://m.media-amazon.com/images/M/MV5BNzI4OTYwOTg0MF5BMl5BanBnXkFtZTcwMTM1MjUyNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.1,"10,751",tt0482463,movie,06 May 2008,"$8,070,537",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class of 1984,1982,R,20 Aug 1982,98 min,"Action, Crime, Drama",Mark L. Lester,"Tom Holland, Mark L. Lester, John C.W. Saxton","Perry King, Merrie Lynn Ross, Timothy Van Patten","There's something strange going on at the graffiti-covered Lincoln High, as teachers are carrying loaded guns, and the students have to walk through a metal detector before they enter the classroom. Before long, the school's new music teacher, Andrew Norris, will learn firsthand that it's even worse than it looks, as the drug-plagued institution is the territory of the charismatic Peter Stegman and his brutal gang of crazed followers. Now, under those dire circumstances, it's only a matter of time before the professor and the pupil lock horns, with unforeseen consequences. But, do drastic times call for drastic measures? In the end, is there a cure for violence?",English,Canada,2 nominations,https://m.media-amazon.com/images/M/MV5BN2QzMTRlOTUtYzc3MS00NWUzLWI2YzAtNDM5NjkyNDMyMTMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.5,"12,438",tt0083739,movie,21 Feb 2006,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Opposite Sex,2014,Not Rated,21 May 2015,97 min,"Comedy, Romance","Jennifer Finnigan, Jonathan Silverman","Mark Mussina, Steven Sessions","Geoff Stults, Mena Suvari, Jennifer Finnigan","A Bet's A Bet tells the story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser. After all, ""A Bet's a Bet!""",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzg1NDA5NjQyNV5BMl5BanBnXkFtZTgwMjQyNjM1MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,"1,174",tt2796678,movie,N/A,N/A,N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dreaming of Joseph Lees,1999,R,26 Nov 1999,92 min,"Drama, Romance",Eric Styles,Catherine Linstrum,"Rupert Graves, Samantha Morton, Nicholas Woodeson","Somerset, 1958. Eva enters adulthood with good humor, keeping house for her absent-minded father, letting her younger sister Janie in on the secrets of growing up, working at a furniture factory, and dreaming of Joseph Lees, her second cousin who's off in Africa and Italy as a geologist, but has lost a leg in an accident. She's also considering the advances of a local farmer, Harry Flite, ebullient and head over heels for Eva. She agrees to live with him and seems happy, then at a family wedding, Joseph appears, she asks him to dance, and her fantasy begins to clash with Harry's obsession.",English,"United States, United Kingdom",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDViODc5NTItM2MwMC00MTY3LWI2Y2ItYTY3NTAzMjE4MGI0XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.3,886,tt0144178,movie,01 Mar 2013,"$12,044","Fox, Twentieth Television, RKO Radio Pictures, 20th Century Fox",N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Class,2008,PG-13,13 Mar 2009,128 min,Drama,Laurent Cantet,"Laurent Cantet, Robin Campillo, François Bégaudeau","François Bégaudeau, Agame Malembo-Emene, Angélica Sancio","Teacher François Marin and his colleagues are preparing for another school year teaching at a racially mixed inner city high school in Paris. The teachers talk to each other about their prospective students, both the good and the bad. The teachers collectively want to inspire their students, but each teacher is an individual who will do things in his or her own way to achieve the results they desire. They also have differing viewpoints on the students themselves, and how best to praise and discipline them. The administration of the school tries to be as fair as possible, which includes having student representatives sit on the student evaluation committee. Marin's class this year of fourteen and fifteen year olds is no different than previous years, although the names and faces have changed. Marin tries to get through to his students, sometimes with success and sometimes resulting in utter failure. Even Marin has his breaking point, which may result in him doing things he would probably admit to himself are wrong. But after all is said and done, there is next year and another group of students.","French, Bambara, Spanish",France,Nominated for 1 Oscar. 11 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BZDI5NmJiYTctMDRjYy00ODc3LWJlMzctMjM5NDg0YWVmNzVmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",92,7.5,"35,814",tt1068646,movie,11 Aug 2009,"$3,766,810",N/A,N/A,True,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rosemary's Baby,1968,Approved,12 Jun 1968,137 min,"Drama, Horror",Roman Polanski,"Ira Levin, Roman Polanski","Mia Farrow, John Cassavetes, Ruth Gordon","Desiring to start their family, young Catholic homemaker Rosemary Woodhouse and her struggling-actor husband Guy move into The Bramford: New York City's iconic building that brims with unpleasant stories of obscure dwellers and ghastly occurrences. The young couple is soon befriended by their eccentric next-door neighbors, Roman and Minnie and Castevet; shortly afterward, Rosemary gets pregnant. However, little by little--as the inexperienced mother becomes systematically cut off from her circle of friends--alarming hints of a sinister, well-planned conspiracy start to emerge, enfolding timid Rosemary in a shroud of suspicion and mental agony. Why is everyone so conveniently eager to help? And why is Guy allowing it?",English,United States,Won 1 Oscar. 11 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMTA5NWQwMmYtZjEyYS00Nzc2LTgwZjAtNTQ4NmFmZjNkNjg4XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.0,"221,810",tt0063522,movie,03 Oct 2000,N/A,N/A,N/A,True,,
